movie_name,overview,ranking,score,score_num
荒野生存,出门必备：本草纲目。,220,8.6,133067人评价
黄金三镖客,最棒的西部片。,221,9.1,54278人评价
无人知晓,我的平常生活就是他人的幸福。,222,9.0,62326人评价
迁徙的鸟,最美的飞翔。,223,9.1,53410人评价
美国丽人,每个人的内心都是深不可测的大海。 ,224,8.4,193451人评价
爱在午夜降临前,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,225,8.8,122900人评价
英国病人,"In memory, love lives forever...",226,8.4,179656人评价
燕尾蝶,现实与童话交相辉映的旅程。,227,8.6,110922人评价
疯狂的石头,中国版《两杆大烟枪》。,228,8.3,331732人评价
非常嫌疑犯,我不信仰上帝，但我敬畏上帝。,229,8.6,121639人评价
无敌破坏王,迪士尼和皮克斯拿错剧本的产物。,230,8.6,192110人评价
叫我第一名,乐观比一切都有力量。,231,8.6,113153人评价
勇士,热血沸腾，相当完美的娱乐拳击大餐。,232,8.9,90916人评价
穆赫兰道,大卫·林奇的梦境迷宫。,233,8.3,244723人评价
步履不停,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,234,8.8,79677人评价
国王的演讲,皇上无话儿。,235,8.3,354960人评价
血钻,每个美丽事物背后都是滴血的现实。,236,8.5,139416人评价
彗星来的那一夜,小成本大魅力。,237,8.4,189896人评价
上帝也疯狂,纯净原始的笑与感动。,238,8.6,99797人评价
枪火,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,239,8.6,104337人评价
聚焦,,240,8.8,133940人评价
大卫·戈尔的一生,捍卫人权只是信仰，一点不妨碍其行为的残忍。,241,8.6,98237人评价
遗愿清单,用剩余不多的时间，去燃烧整个生命。,242,8.5,135681人评价
我爱你,你要相信，这世上真的有爱存在，不管在什么年纪 ,243,9.0,60678人评价
蓝色大门,青春的窃窃私语。 ,244,8.3,280404人评价
千钧一发,一部能引人思考的科幻励志片。,245,8.7,90408人评价
荒岛余生,一个人的独角戏。,246,8.5,140624人评价
黑鹰坠落,还原真实而残酷的战争。,247,8.5,121333人评价
爱·回家,献给所有外婆的电影。,248,9.0,49222人评价
海街日记,,249,8.6,133900人评价
麦兜故事,麦兜是一只很哲学的猪。 ,250,8.5,132582人评价
